Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Availablity/Capacity,Credits,Academic Level
Fall 2022,Open,ACCT*1220*0101 (6573) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Mon 04:30PM - 05:20PM; MCKN; Room 225EXAM Tues 08:30AM - 10:30AM; Room TBA Room TBA,P. Lassou,3  /  48,0.50,Undergraduate
Fall 2022,Open,ACCT*1220*0102 (6574) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Tues 08:30AM - 09:20AM; MCKN; Room 227EXAM Tues 08:30AM - 10:30AM; Room TBA Room TBA,P. Lassou,1  /  48,0.50,Undergraduate
Fall 2022,Open,ACCT*1220*0103 (6575) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Wed 04:30PM - 05:20PM; MCKN; Room 228EXAM Tues 08:30AM - 10:30AM; Room TBA Room TBA,P. Lassou,1  /  48,0.50,Undergraduate
Fall 2022,Closed,ACCT*1220*0104 (6576) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Thur 12:30PM - 01:20PM; MACS; Room 121EXAM Tues 08:30AM - 10:30AM; Room TBA Room TBA,P. Lassou,0  /  48,0.50,Undergraduate
Fall 2022,Open,ACCT*1220*0105 (6577) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Mon 11:30AM - 12:20PM; MCKN; Room 226EXAM Tues 08:30AM - 10:30AM; Room TBA Room TBA,P. Lassou,1  /  48,0.50,Undergraduate
Fall 2022,Closed,ACCT*1220*0106 (6578) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Tues 02:30PM - 03:20PM; MACS; Room 121EXAM Tues 08:30AM - 10:30AM; Room TBA Room TBA,P. Lassou,0  /  48,0.50,Undergraduate
Fall 2022,Open,ACCT*1220*0107 (6579) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Tues 09:30AM - 10:20AM; AD-S; Room VIRTUALEXAM Tues 08:30AM - 10:30AM; Room TBA Room TBA,P. Lassou,1  /  70,0.50,Undergraduate
Fall 2022,Open,ACCT*1220*0108 (6580) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Wed 01:30PM - 02:20PM; AD-S; Room VIRTUALEXAM Tues 08:30AM - 10:30AM; Room TBA Room TBA,P. Lassou,2  /  70,0.50,Undergraduate
Fall 2022,Closed,ACCT*1220*0109 (6581) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Mon 12:30PM - 01:20PM; MCKN; Room 231EXAM Tues 08:30AM - 10:30AM; Room TBA Room TBA,P. Lassou,0  /  48,0.50,Undergraduate
Fall 2022,Open,ACCT*1220*0110 (6582) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Thur 11:30AM - 12:20PM; MACS; Room 121EXAM Tues 08:30AM - 10:30AM; Room TBA Room TBA,P. Lassou,1  /  48,0.50,Undergraduate
Fall 2022,Open,ACCT*1220*DE01 (6583) Intro Financial Accounting,Guelph,Distance Education Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBAEXAM Tues 08:30AM - 10:30AM; Room TBA Room TBA,T. Nasreen,8  /  200,0.50,Undergraduate
Fall 2022,Open,ACCT*2230*01 (6584) Management Accounting,Guelph,LEC Tues 07:00PM - 09:50PM; ROZH; Room 104EXAM Wed 11:30AM - 01:30PM; Room TBA Room TBA,K. Jagoda,149  /  500,0.50,Undergraduate
Fall 2022,Open,ACCT*2230*DE01 (6585) Management Accounting,Guelph,Distance Education Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBAEXAM Wed 11:30AM - 01:30PM; Room TBA Room TBA,S. Dhaliwal,23  /  325,0.50,Undergraduate
Fall 2022,Open,ACCT*3280*01 (6586) Auditing I,Guelph,LEC Wed; Fri 01:00PM - 02:20PM; CRSC; Room 116EXAM Sat 08:30AM - 10:30AM; Room TBA Room TBA,P. Ghattas,16  /  68,0.50,Undergraduate
Fall 2022,Open,ACCT*3330*01 (6588) Intermed Financial Account I,Guelph,LEC Mon; Wed 04:00PM - 05:20PM; MCKN; Room 116EXAM Mon 02:30PM - 04:30PM; Room TBA Room TBA,S. Wick,8  /  76,0.50,Undergraduate
Fall 2022,Open,ACCT*3330*02 (6589) Intermed Financial Account I,Guelph,LEC Mon; Wed 01:00PM - 02:20PM; MCKN; Room 121EXAM Mon 02:30PM - 04:30PM; Room TBA Room TBA,S. Wick,8  /  76,0.50,Undergraduate
Fall 2022,Open,ACCT*3340*01 (6590) Intermed Financial Account II,Guelph,LEC Wed; Fri 11:30AM - 12:50PM; MACS; Room 209EXAM Wed 08:30AM - 10:30AM; Room TBA Room TBA,S. Scott,5  /  85,0.50,Undergraduate
Fall 2022,Open,ACCT*3340*02 (6591) Intermed Financial Account II,Guelph,LEC Wed; Fri 02:30PM - 03:50PM; CRSC; Room 116EXAM Wed 08:30AM - 10:30AM; Room TBA Room TBA,S. Scott,8  /  65,0.50,Undergraduate
Fall 2022,Open,ACCT*3350*01 (6592) Taxation,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MCKN; Room 306EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,S. Dhaliwal,11  /  38,0.50,Undergraduate
Fall 2022,Open,ACCT*3350*02 (6593) Taxation,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; MCKN; Room 305EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,S. Dhaliwal,7  /  38,0.50,Undergraduate
Fall 2022,Closed,ACCT*4220*01 (6594) Advanced Financial Accounting,Guelph,LEC Tues; Thur 04:00PM - 05:20PM; MCKN; Room 116EXAM Mon 02:30PM - 04:30PM; Room TBA Room TBA,R. Baker,0  /  75,0.50,Undergraduate
Fall 2022,Closed,ACCT*4220*02 (6595) Advanced Financial Accounting,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; MCKN; Room 116EXAM Mon 02:30PM - 04:30PM; Room TBA Room TBA,R. Baker,0  /  75,0.50,Undergraduate
Fall 2022,Open,ACCT*4230*01 (6596) Advanced Management Accounting,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; MCLN; Room 107EXAM Fri 08:30AM - 10:30AM; Room TBA Room TBA,K. Jagoda,30  /  50,0.50,Undergraduate
Fall 2022,Open,ACCT*4270*01 (6597) Auditing II,Guelph,LEC Mon; Wed 04:00PM - 05:20PM; MAC; Room 149EXAM Wed 11:30AM - 01:30PM; Room TBA Room TBA,C. Zavitz,65  /  110,0.50,Undergraduate
Fall 2022,Open,ACCT*4270*02 (6598) Auditing II,Guelph,LEC Mon; Wed 01:00PM - 02:20PM; MAC; Room 149EXAM Wed 11:30AM - 01:30PM; Room TBA Room TBA,C. Zavitz,10  /  110,0.50,Undergraduate
Fall 2022,Open,ACCT*4350*01 (6599) Income Taxation II,Guelph,LEC Mon; Wed 08:30AM - 09:50AM; MACS; Room 209EXAM Mon 11:30AM - 01:30PM; Room TBA Room TBA,S. Dhaliwal,2  /  95,0.50,Undergraduate
Fall 2022,Open,AGR*1110*0101 (6600) Intro to Agri-Food Systems,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ALEX; Room 100SEM Tues 08:30AM - 11:20AM; CRSC; Room 121AEXAM Fri 11:30AM - 01:30PM; Room TBA Room TBA,E. Lee,2  /  32,1.00,Undergraduate
Fall 2022,Closed,AGR*1110*0102 (6601) Intro to Agri-Food Systems,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ALEX; Room 100SEM Thur 08:30AM - 11:20AM; CRSC; Room 121AEXAM Fri 11:30AM - 01:30PM; Room TBA Room TBA,E. Lee,0  /  32,1.00,Undergraduate
Fall 2022,Closed,AGR*1110*0103 (6602) Intro to Agri-Food Systems,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ALEX; Room 100SEM Wed 08:30AM - 11:20AM; CRSC; Room 121AEXAM Fri 11:30AM - 01:30PM; Room TBA Room TBA,E. Lee,0  /  32,1.00,Undergraduate
Fall 2022,Open,AGR*1110*0104 (6603) Intro to Agri-Food Systems,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ALEX; Room 100SEM Fri 08:30AM - 11:20AM; CRSC; Room 121AEXAM Fri 11:30AM - 01:30PM; Room TBA Room TBA,E. Lee,1  /  32,1.00,Undergraduate
