Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Availablity/Capacity,Credits,Academic Level
Fall 2022,Closed,CIS*1200*DE01 (7161) Introduction to Computing,Guelph,Distance Education Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBAEXAM Tues 08:30AM - 10:30AM; Room TBA Room TBA,TBA  TBA,0  /  400,0.50,Undergraduate
Fall 2022,Closed,CIS*1250*0101 (7162) Software Design I,Guelph,LEC Mon; Wed; Fri 04:30PM - 05:20PM; LA; Room 204LAB Wed 02:30PM - 04:20PM; THRN; Room 2420EXAM Tues 11:30AM - 01:30PM; Room TBA Room TBA,R. Chaturvedi,0  /  27,0.50,Undergraduate
Fall 2022,Closed,CIS*1250*0102 (7163) Software Design I,Guelph,LEC Mon; Wed; Fri 04:30PM - 05:20PM; LA; Room 204LAB Tues 08:30AM - 10:20AM; THRN; Room 2420EXAM Tues 11:30AM - 01:30PM; Room TBA Room TBA,R. Chaturvedi,0  /  27,0.50,Undergraduate
Fall 2022,Closed,CIS*1250*0103 (7164) Software Design I,Guelph,LEC Mon; Wed; Fri 04:30PM - 05:20PM; LA; Room 204LAB Thur 08:30AM - 10:20AM; THRN; Room 2420EXAM Tues 11:30AM - 01:30PM; Room TBA Room TBA,R. Chaturvedi,0  /  27,0.50,Undergraduate
Fall 2022,Closed,CIS*1250*0104 (9440) Software Design I,Guelph,LEC Mon; Wed; Fri 04:30PM - 05:20PM; LA; Room 204LAB Fri 02:30PM - 04:20PM; THRN; Room 2420EXAM Tues 11:30AM - 01:30PM; Room TBA Room TBA,R. Chaturvedi,0  /  27,0.50,Undergraduate
Fall 2022,Closed,CIS*1300*0101 (7165) Programming,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; ROZH; Room 101LAB Fri 11:30AM - 01:20PM; REYN; Room 0002EXAM Fri 08:30AM - 10:30AM; Room TBA Room TBA,R. Chaturvedi,0  /  33,0.50,Undergraduate
Fall 2022,Closed,CIS*1300*0102 (7166) Programming,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; ROZH; Room 101LAB Mon 08:30AM - 10:20AM; REYN; Room 0002EXAM Fri 08:30AM - 10:30AM; Room TBA Room TBA,R. Chaturvedi,0  /  33,0.50,Undergraduate
Fall 2022,Closed,CIS*1300*0103 (7167) Programming,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; ROZH; Room 101LAB Fri 08:30AM - 10:20AM; REYN; Room 0002EXAM Fri 08:30AM - 10:30AM; Room TBA Room TBA,R. Chaturvedi,0  /  33,0.50,Undergraduate
Fall 2022,Closed,CIS*1300*0104 (7168) Programming,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; ROZH; Room 101LAB Mon 02:30PM - 04:20PM; REYN; Room 0002EXAM Fri 08:30AM - 10:30AM; Room TBA Room TBA,R. Chaturvedi,0  /  33,0.50,Undergraduate
Fall 2022,Closed,CIS*1300*0105 (7169) Programming,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; ROZH; Room 101LAB Mon 11:30AM - 01:20PM; REYN; Room 0002EXAM Fri 08:30AM - 10:30AM; Room TBA Room TBA,R. Chaturvedi,0  /  33,0.50,Undergraduate
Fall 2022,Closed,CIS*1300*0106 (7170) Programming,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; ROZH; Room 101LAB Tues 08:30AM - 10:20AM; REYN; Room 0002EXAM Fri 08:30AM - 10:30AM; Room TBA Room TBA,R. Chaturvedi,0  /  33,0.50,Undergraduate
Fall 2022,Closed,CIS*1300*0107 (7171) Programming,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; ROZH; Room 101LAB Wed 11:30AM - 01:20PM; REYN; Room 0002EXAM Fri 08:30AM - 10:30AM; Room TBA Room TBA,R. Chaturvedi,0  /  33,0.50,Undergraduate
Fall 2022,Closed,CIS*1300*0108 (7172) Programming,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; ROZH; Room 101LAB Thur 08:30AM - 10:20AM; REYN; Room 0002EXAM Fri 08:30AM - 10:30AM; Room TBA Room TBA,R. Chaturvedi,0  /  33,0.50,Undergraduate
Fall 2022,Closed,CIS*1300*0109 (7173) Programming,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; ROZH; Room 101LAB Wed 02:30PM - 04:20PM; REYN; Room 0002EXAM Fri 08:30AM - 10:30AM; Room TBA Room TBA,R. Chaturvedi,0  /  33,0.50,Undergraduate
Fall 2022,Closed,CIS*1300*0110 (7174) Programming,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; ROZH; Room 101LAB Wed 08:30AM - 10:20AM; REYN; Room 0002EXAM Fri 08:30AM - 10:30AM; Room TBA Room TBA,R. Chaturvedi,0  /  33,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0101 (7175) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Wed 09:30AM - 10:20AM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0102 (7176) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Wed 11:30AM - 12:20PM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0103 (7177) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Wed 10:30AM - 11:20AM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0104 (7178) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Wed 03:30PM - 04:20PM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0105 (7179) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Mon 12:30PM - 01:20PM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0106 (7180) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Mon 04:30PM - 05:20PM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0107 (7181) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Mon 01:30PM - 02:20PM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0108 (7182) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Mon 11:30AM - 12:20PM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0109 (7183) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Wed 12:30PM - 01:20PM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0110 (7184) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Mon 03:30PM - 04:20PM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0111 (7185) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Wed 01:30PM - 02:20PM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0112 (7186) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Wed 08:30AM - 09:20AM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1500*0113 (7187) Introduction to Programming,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; THRN; Room 1200LAB Wed 04:30PM - 05:20PM; THRN; Room 3401EXAM Thur 11:30AM - 01:30PM; Room TBA Room TBA,TBA  TBA,0  /  20,0.50,Undergraduate
Fall 2022,Closed,CIS*1910*0101 (7188) Discrete Structures in Comp I,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; ROZH; Room 101LAB Mon 11:30AM - 01:20PM; MCKN; Room 318EXAM Mon 08:30AM - 10:30AM; Room TBA Room TBA,P. Matsakis,0  /  29,0.50,Undergraduate
Fall 2022,Closed,CIS*1910*0102 (7189) Discrete Structures in Comp I,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; ROZH; Room 101LAB Mon 07:00PM - 08:50PM; MCKN; Room 235EXAM Mon 08:30AM - 10:30AM; Room TBA Room TBA,P. Matsakis,0  /  29,0.50,Undergraduate
Fall 2022,Closed,CIS*1910*0103 (7190) Discrete Structures in Comp I,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; ROZH; Room 101LAB Tues 07:00PM - 08:50PM; MCKN; Room 235EXAM Mon 08:30AM - 10:30AM; Room TBA Room TBA,P. Matsakis,0  /  29,0.50,Undergraduate
Fall 2022,Closed,CIS*1910*0104 (7191) Discrete Structures in Comp I,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; ROZH; Room 101LAB Mon 02:30PM - 04:20PM; MCKN; Room 234EXAM Mon 08:30AM - 10:30AM; Room TBA Room TBA,P. Matsakis,0  /  29,0.50,Undergraduate
