Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Availablity/Capacity,Credits,Academic Level
Winter 2023,Open,ACCT*1220*0101 (1065) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Tues 10:30AM - 11:20AM; MCKN; Room 230,S. Dhaliwal,25  /  25,0.50,Undergraduate
Winter 2023,Open,ACCT*1220*0102 (1066) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Mon 02:30PM - 03:20PM; MCKN; Room 231,S. Dhaliwal,25  /  25,0.50,Undergraduate
Winter 2023,Open,ACCT*1220*0103 (1067) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Thur 11:30AM - 12:20PM; MCKN; Room 232,S. Dhaliwal,25  /  25,0.50,Undergraduate
Winter 2023,Open,ACCT*1220*0104 (1068) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Tues 08:30AM - 09:20AM; MCKN; Room 230,S. Dhaliwal,25  /  25,0.50,Undergraduate
Winter 2023,Open,ACCT*1220*0105 (1069) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Wed 12:30PM - 01:20PM; MCKN; Room 228,S. Dhaliwal,25  /  25,0.50,Undergraduate
Winter 2023,Open,ACCT*1220*0106 (1070) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Wed 04:30PM - 05:20PM; MCKN; Room 229,S. Dhaliwal,25  /  25,0.50,Undergraduate
Winter 2023,Open,ACCT*1220*0107 (1071) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Thur 02:30PM - 03:20PM; MCKN; Room 229,S. Dhaliwal,25  /  25,0.50,Undergraduate
Winter 2023,Open,ACCT*1220*0108 (1072) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Mon 09:30AM - 10:20AM; MCKN; Room 230,S. Dhaliwal,25  /  25,0.50,Undergraduate
Winter 2023,Open,ACCT*1220*0109 (1073) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Wed 09:30AM - 10:20AM; AD-S; Room VIRTUAL,S. Dhaliwal,70  /  70,0.50,Undergraduate
Winter 2023,Open,ACCT*1220*0110 (1074) Intro Financial Accounting,Guelph,LEC Fri 08:30AM - 10:20AM; ROZH; Room 104SEM Mon 01:30PM - 02:20PM; AD-S; Room VIRTUAL,S. Dhaliwal,70  /  70,0.50,Undergraduate
Winter 2023,Closed,ACCT*1220*0211 (1075) Intro Financial Accounting,Guelph,LEC Mon 07:00PM - 08:50PM; ROZH; Room 103SEM Fri 01:30PM - 02:20PM; MCKN; Room 229,TBA  TBA,0  /  0,0.50,Undergraduate
Winter 2023,Closed,ACCT*1220*0212 (1076) Intro Financial Accounting,Guelph,LEC Mon 07:00PM - 08:50PM; ROZH; Room 103SEM Fri 08:30AM - 09:20AM; MCKN; Room 230,TBA  TBA,0  /  0,0.50,Undergraduate
Winter 2023,Closed,ACCT*1220*0213 (1077) Intro Financial Accounting,Guelph,LEC Mon 07:00PM - 08:50PM; ROZH; Room 103SEM Tues 02:30PM - 03:20PM; MCKN; Room 228,TBA  TBA,0  /  0,0.50,Undergraduate
Winter 2023,Closed,ACCT*1220*0214 (1078) Intro Financial Accounting,Guelph,LEC Mon 07:00PM - 08:50PM; ROZH; Room 103SEM Thur 10:30AM - 11:20AM; MCKN; Room 229,TBA  TBA,0  /  0,0.50,Undergraduate
Winter 2023,Open,ACCT*1220*DE01 (1079) Intro Financial Accounting,Guelph,Distance Education Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,S. Dhaliwal,200  /  200,0.50,Undergraduate
Winter 2023,Open,ACCT*1240*01 (1080) Applied Financial Accounting,Guelph,LEC Mon; Wed 01:00PM - 02:20PM; MAC; Room 149,C. Zavitz,80  /  80,0.50,Undergraduate
Winter 2023,Open,ACCT*1240*02 (1081) Applied Financial Accounting,Guelph,LEC Mon; Wed 10:00AM - 11:20AM; MAC; Room 149,C. Zavitz,80  /  80,0.50,Undergraduate
Winter 2023,Open,ACCT*2230*01 (1082) Management Accounting,Guelph,LEC Thur 07:00PM - 09:50PM; ROZH; Room 103,P. Ghattas,200  /  200,0.50,Undergraduate
Winter 2023,Open,ACCT*2230*DE01 (1083) Management Accounting,Guelph,Distance Education Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,P. Ghattas,200  /  200,0.50,Undergraduate
Winter 2023,Open,ACCT*3230*01 (1084) Intermediate Mgmt Accounting,Guelph,LEC Mon; Wed 08:30AM - 09:50AM; MINS; Room 300,TBA  TBA,60  /  60,0.50,Undergraduate
Winter 2023,Open,ACCT*3330*01 (1085) Intermed Financial Account I,Guelph,LEC Wed; Fri 02:30PM - 03:50PM; MCLN; Room 107,S. Dhaliwal,50  /  50,0.50,Undergraduate
Winter 2023,Open,ACCT*4220*01 (1086) Advanced Financial Accounting,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; MCKN; Room 230,R. Baker,40  /  40,0.50,Undergraduate
