Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Availablity/Capacity,Credits,Academic Level
Winter 2023,Open,CIS*1050*DE01 (1694) Web Design ,Guelph,Distance Education Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,M. Wirth,30  /  30,0.50,Undergraduate
Winter 2023,Open,CIS*1200*DE01 (1695) Introduction to Computing,Guelph,Distance Education Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,TBA  TBA,50  /  50,0.50,Undergraduate
Winter 2023,Open,CIS*1500*0101 (1696) Introduction to Programming,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ROZH; Room 104LAB Tues 12:30PM - 01:20PM; THRN; Room 3401,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*1500*0102 (1697) Introduction to Programming,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ROZH; Room 104LAB Mon 12:30PM - 01:20PM; THRN; Room 3401,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*1500*0103 (1698) Introduction to Programming,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ROZH; Room 104LAB Mon 08:30AM - 09:20AM; THRN; Room 3401,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*1500*0104 (1699) Introduction to Programming,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ROZH; Room 104LAB Mon 09:30AM - 10:20AM; THRN; Room 3401,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*1500*0105 (1700) Introduction to Programming,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ROZH; Room 104LAB Tues 01:30PM - 02:20PM; THRN; Room 3401,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*1500*0106 (1701) Introduction to Programming,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ROZH; Room 104LAB Tues 09:30AM - 10:20AM; THRN; Room 3401,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*1500*0107 (1702) Introduction to Programming,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ROZH; Room 104LAB Tues 11:30AM - 12:20PM; THRN; Room 3401,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*1500*0108 (1703) Introduction to Programming,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ROZH; Room 104LAB Tues 04:30PM - 05:20PM; THRN; Room 3401,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*1500*0109 (1704) Introduction to Programming,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ROZH; Room 104LAB Tues 08:30AM - 09:20AM; THRN; Room 3401,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*1500*0110 (1705) Introduction to Programming,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ROZH; Room 104LAB Tues 10:30AM - 11:20AM; THRN; Room 3401,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*1500*0111 (1706) Introduction to Programming,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ROZH; Room 104LAB Mon 10:30AM - 11:20AM; THRN; Room 3401,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*1500*0112 (1707) Introduction to Programming,Guelph,LEC Mon; Wed; Fri 02:30PM - 03:20PM; ROZH; Room 104LAB Tues 02:30PM - 03:20PM; THRN; Room 3401,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2170*0101 (1708) User Interface Design,Guelph,LEC Tues; Thur 08:30AM - 09:50AM; RICH; Room 2520LAB Mon 08:30AM - 10:20AM; ALEX; Room 028,D. Flatla,5  /  5,0.75,Undergraduate
Winter 2023,Open,CIS*2170*0102 (1709) User Interface Design,Guelph,LEC Tues; Thur 08:30AM - 09:50AM; RICH; Room 2520LAB Fri 08:30AM - 10:20AM; MINS; Room 017,D. Flatla,5  /  5,0.75,Undergraduate
Winter 2023,Open,CIS*2170*0103 (1710) User Interface Design,Guelph,LEC Tues; Thur 08:30AM - 09:50AM; RICH; Room 2520LAB Fri 11:30AM - 01:20PM; MCKN; Room 233,D. Flatla,5  /  5,0.75,Undergraduate
Winter 2023,Open,CIS*2170*0104 (1711) User Interface Design,Guelph,LEC Tues; Thur 08:30AM - 09:50AM; RICH; Room 2520LAB Fri 02:30PM - 04:20PM; ROZH; Room 106,D. Flatla,5  /  5,0.75,Undergraduate
Winter 2023,Open,CIS*2170*0105 (1712) User Interface Design,Guelph,LEC Tues; Thur 08:30AM - 09:50AM; RICH; Room 2520LAB Mon 07:00PM - 08:50PM; MCLN; Room 101,D. Flatla,5  /  5,0.75,Undergraduate
Winter 2023,Open,CIS*2250*0101 (1713) Software Design II,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; ROZH; Room 102LAB Fri 12:30PM - 02:20PM; THRN; Room 2420,D. Stacey,10  /  10,0.50,Undergraduate
Winter 2023,Open,CIS*2250*0102 (1714) Software Design II,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; ROZH; Room 102LAB Fri 09:30AM - 11:20AM; THRN; Room 2420,D. Stacey,10  /  10,0.50,Undergraduate
Winter 2023,Open,CIS*2250*0103 (1715) Software Design II,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; ROZH; Room 102LAB Wed 09:30AM - 11:20AM; THRN; Room 2420,D. Stacey,10  /  10,0.50,Undergraduate
Winter 2023,Open,CIS*2250*0104 (1716) Software Design II,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; ROZH; Room 102LAB Mon 09:30AM - 11:20AM; THRN; Room 2420,D. Stacey,10  /  10,0.50,Undergraduate
Winter 2023,Open,CIS*2500*0101 (1717) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 03:30PM - 04:20PM; ROZH; Room 103LAB Wed 01:30PM - 03:20PM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2500*0102 (1718) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 03:30PM - 04:20PM; ROZH; Room 103LAB Mon 09:30AM - 11:20AM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2500*0103 (1719) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 03:30PM - 04:20PM; ROZH; Room 103LAB Tues 03:30PM - 05:20PM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2500*0104 (1720) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 03:30PM - 04:20PM; ROZH; Room 103LAB Tues 08:30AM - 10:20AM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2500*0105 (1721) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 03:30PM - 04:20PM; ROZH; Room 103LAB Wed 11:30AM - 01:20PM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
